Name,Ingredients,Recipe,Spiciness,times,imageFile
고추장찌개,"고추장, 두부, 애호박, 양파, 청양고추, 돼지고기, 마늘","1. 두부, 애호박, 양파를 썰어 준비합니다. 
2. 돼지고기를 볶아 기름을 제거합니다. 
3. 고추장과 물을 넣고 끓입니다. 
4. 준비한 재료를 모두 넣고 끓입니다. 
5. 청양고추와 마늘을 추가해 마무리합니다.",4,45
천천히 익힌 한우,"한우, 소금, 후추, 마늘, 로즈마리","1. 한우를 소금, 후추, 마늘, 로즈마리로 재웁니다. 
2. 오븐에서 저온으로 천천히 익힙니다.",0,240
매운참깨갈비,"갈비, 참깨, 고추, 마늘, 고추장, 간장","1. 갈비를 손질하여 준비합니다. 
2. 고추장, 간장, 마늘, 고추를 섞어 양념장을 만듭니다. 
3. 갈비를 양념장에 재워둡니다. 
4. 참깨를 뿌려 구워냅니다.",5,90
떡갈비,"갈비, 떡, 양파, 간장, 참기름, 마늘","1. 갈비와 떡을 다져 섞습니다. 
2. 양파, 간장, 참기름, 마늘을 넣고 반죽을 만듭니다. 
3. 반죽을 모양 잡아 구워냅니다.",1,60
참깨냉면,"냉면, 참깨, 오이, 계란, 고추","1. 냉면을 삶아 찬물에 헹굽니다. 
2. 참깨 소스를 만들어 냉면에 뿌립니다. 
3. 오이와 계란, 고추를 얹어냅니다.",2,30
한우전골,"한우, 버섯, 두부, 양파, 간장, 마늘","1. 한우를 손질하고 준비합니다. 
2. 버섯, 두부, 양파를 썰어 준비합니다. 
3. 한우를 끓는 물에 데쳐 기름을 제거합니다. 
4. 모든 재료를 넣고 간장과 마늘로 간을 맞춰 끓입니다.",1,60
바베큐 치킨 야키토리 케밥,"치킨, 야채, 간장, 마늘, 참기름","1. 치킨과 야채를 손질하여 꼬치에 끼웁니다. 
2. 간장, 마늘, 참기름을 섞어 양념장을 만듭니다. 
3. 치킨과 야채를 양념장에 재워둡니다. 
4. 바베큐 그릴에서 구워냅니다.",2,45
저칼로리 초콜릿 와사비 푸딩,"초콜릿, 와사비, 우유, 설탕","1. 초콜릿을 녹입니다. 
2. 우유와 설탕을 넣고 섞어 푸딩을 만듭니다. 
3. 와사비를 약간 넣어 맛을 냅니다. 
4. 푸딩을 냉장고에서 굳힙니다.",3,30
된장 버터 두부,"두부, 된장, 버터, 마늘","1. 두부를 손질하여 준비합니다. 
2. 버터와 마늘을 팬에 녹여 향을 냅니다. 
3. 된장을 넣고 섞어 소스를 만듭니다. 
4. 두부를 소스에 넣고 볶습니다.",1,20
돼지고기 돈까스,"돼지고기, 빵가루, 계란, 밀가루, 소금","1. 돼지고기를 손질하여 얇게 펴줍니다. 
2. 밀가루, 계란, 빵가루를 순서대로 입혀줍니다. 
3. 팬에 기름을 두르고 돈까스를 튀겨냅니다.",0,45
무지방 된장 소스,"된장, 다시마, 마늘, 물","1. 다시마를 물에 넣고 끓입니다. 
2. 된장과 다진 마늘을 넣고 잘 섞습니다. 
3. 약한 불에서 끓여 완성합니다.",0,20
멜론과 히카마 초밥,"멜론, 히카마, 밥, 김","1. 멜론과 히카마를 얇게 썹니다. 
2. 밥을 김에 펴서 멜론과 히카마를 얹습니다. 
3. 롤 형태로 말아줍니다.",0,30
연어롤,"연어, 밥, 김, 오이, 아보카도","1. 연어, 오이, 아보카도를 얇게 썹니다. 
2. 밥을 김에 펴서 재료를 얹습니다. 
3. 롤 형태로 말아줍니다.",0,30
중국식 닭고기와 밤찜,"닭고기, 밤, 간장, 마늘, 생강","1. 닭고기를 간장, 마늘, 생강으로 재웁니다. 
2. 밤을 넣고 함께 찜통에 찝니다.",1,60
중국식 삼겹살,"삼겹살, 간장, 설탕, 마늘, 생강","1. 삼겹살을 간장, 설탕, 마늘, 생강으로 재웁니다. 
2. 팬에 삼겹살을 굽습니다.",2,90
돼지고기와 야채 조림,"돼지고기, 당근, 감자, 간장, 마늘","1. 돼지고기, 당근, 감자를 손질합니다. 
2. 간장, 마늘을 넣고 함께 조립니다.",1,60
중국 고추 새우,"새우, 고추, 마늘, 간장","1. 새우를 손질하고 고추와 마늘을 썹니다. 
2. 새우를 고추, 마늘, 간장과 함께 볶습니다.",4,30
캐슈넛과 돼지고기 볶음,"돼지고기, 캐슈넛, 피망, 간장, 마늘","1. 돼지고기와 피망을 썹니다. 
2. 돼지고기를 간장, 마늘로 볶다가 캐슈넛과 피망을 추가해 볶습니다.",1,30
중국식 새우 팬케이크,"새우, 계란, 밀가루, 파, 간장","1. 새우를 손질합니다. 
2. 계란, 밀가루, 파, 간장을 섞어 반죽을 만듭니다. 
3. 팬에 새우를 넣고 반죽을 부쳐 굽습니다.",1,30
연어와 눈콩 볶음,"연어, 눈콩, 간장, 마늘, 생강","1. 연어를 손질합니다. 
2. 눈콩, 간장, 마늘, 생강을 넣고 함께 볶습니다.",2,25
된장찌개,"된장, 두부, 애호박, 양파, 대파, 고추, 마늘, 물, 육수","1. 육수를 끓입니다. 
2. 된장과 다진 마늘을 넣고 끓입니다. 
3. 두부, 애호박, 양파, 대파, 고추를 넣고 끓여 완성합니다.",2,40
김치찌개,"김치, 돼지고기, 두부, 양파, 대파, 고추, 마늘, 물, 육수","1. 돼지고기를 볶습니다. 
2. 김치와 양파, 마늘을 넣고 볶습니다. 
3. 물과 육수를 넣고 끓입니다. 
4. 두부와 대파, 고추를 넣어 완성합니다.",3,45
순두부찌개,"순두부, 돼지고기, 양파, 대파, 고추, 마늘, 계란, 물, 육수","1. 돼지고기를 볶습니다. 
2. 양파, 마늘을 넣고 볶습니다. 
3. 물과 육수를 넣고 끓입니다. 
4. 순두부와 대파, 고추를 넣고 끓입니다. 
5. 계란을 넣어 완성합니다.",3,40
새우볶음,"새우, 양파, 파프리카, 마늘, 간장, 소금, 후추, 식용유","1. 새우를 손질합니다. 
2. 양파와 파프리카를 썹니다. 
3. 팬에 식용유를 두르고 마늘을 볶습니다. 
4. 새우와 야채를 넣고 간장, 소금, 후추로 간을 맞추며 볶습니다.",2,20
크리올 마카로니,"마카로니, 토마토 소스, 소시지, 피망, 양파, 마늘, 크리올 시즈닝","1. 마카로니를 삶습니다. 
2. 소시지, 피망, 양파, 마늘을 볶습니다. 
3. 토마토 소스와 크리올 시즈닝을 넣고 끓입니다. 
4. 마카로니와 소스를 섞어 완성합니다.",2,30
바스마티 쌀밥,"바스마티 쌀, 물, 소금","1. 바스마티 쌀을 씻습니다. 
2. 물과 소금을 넣고 밥을 짓습니다.",0,25
에너지 바,"귀리, 견과류, 꿀, 말린 과일, 코코넛 오일","1. 귀리, 견과류, 말린 과일을 섞습니다. 
2. 꿀과 코코넛 오일을 녹여 섞습니다. 
3. 혼합물을 팬에 눌러 담고 냉장고에 굳혀 완성합니다.",0,20
저지방 바나나빵,"바나나, 통밀가루, 베이킹파우더, 소금, 계란, 저지방 우유, 꿀","1. 바나나를 으깨고 나머지 재료와 섞습니다. 
2. 반죽을 팬에 부어 오븐에 구워 완성합니다.",0,50
옥수수 가루 체다 만두를 곁들인 콩 스튜,"콩, 토마토 소스, 옥수수 가루, 체다 치즈, 양파, 마늘, 고수","1. 콩과 토마토 소스를 끓입니다. 
2. 옥수수 가루와 체다 치즈를 섞어 만두를 만듭니다. 
3. 만두를 스튜에 넣고 함께 끓입니다.",2,60
매운 살사,"토마토, 양파, 고추, 고수, 라임 주스, 소금, 후추","1. 토마토, 양파, 고추, 고수를 썹니다. 
2. 라임 주스, 소금, 후추를 넣고 섞어 완성합니다.",4,15
카라멜 사과 니블,"사과, 설탕, 버터, 시나몬","1. 사과를 작게 자릅니다. 
2. 설탕과 버터를 녹여 카라멜을 만듭니다. 
3. 사과를 카라멜에 넣고 시나몬을 뿌려 완성합니다.",1,30
스위트 칠리 새우 케이크,"새우, 빵가루, 달걀, 스위트 칠리 소스, 마늘, 생강, 고수","1. 새우를 다지고 나머지 재료와 섞습니다. 
2. 반죽을 모양내어 팬에 구워 완성합니다.",3,40
버터 케이크,"밀가루, 설탕, 버터, 달걀, 베이킹파우더, 바닐라 추출물","1. 재료를 모두 섞어 반죽을 만듭니다. 
2. 반죽을 팬에 부어 오븐에 구워 완성합니다.",0,60
파이 크러스트,"밀가루, 버터, 소금, 물","1. 밀가루와 버터를 섞습니다. 
2. 소금과 물을 넣어 반죽을 만듭니다. 
3. 반죽을 펴서 냉장고에 보관 후 사용합니다.",0,30
브로콜리 캐서롤,"브로콜리, 치즈, 우유, 버터, 밀가루, 소금, 후추","1. 브로콜리를 삶습니다. 
2. 치즈 소스를 만들어 브로콜리에 붓습니다. 
3. 오븐에 구워 완성합니다.",0,45
스파게티 스쿼시 패드 타이,"스파게티 스쿼시, 타마린드 소스, 피넛 버터, 두부, 숙주, 땅콩, 라임","1. 스파게티 스쿼시를 삶아 면처럼 만듭니다. 
2. 소스와 두부, 숙주를 볶습니다. 
3. 스쿼시와 소스를 섞어 완성합니다.",2,50
고구마와 파인애플 코르마,"고구마, 파인애플, 코코넛 밀크, 커리 가루, 양파, 마늘, 생강, 토마토","1. 양파, 마늘, 생강을 볶습니다. 
2. 고구마와 토마토를 넣고 끓입니다. 
3. 코코넛 밀크와 파인애플을 넣고 완성합니다.",2,60
연어 패티,"연어, 빵가루, 달걀, 마요네즈, 레몬 주스, 소금, 후추","1. 연어를 다지고 나머지 재료와 섞습니다. 
2. 반죽을 모양내어 팬에 구워 완성합니다.",0,30
시금치밥으로 속을 채운 닭가슴살,"닭가슴살, 시금치, 밥, 치즈, 소금, 후추, 올리브 오일","1. 닭가슴살을 펴서 시금치와 밥, 치즈를 넣고 말아줍니다. 
2. 팬에 구워 완성합니다.",0,45
"찹쌀가루 만두, 홍콩 스타일","찹쌀가루, 돼지고기, 새우, 대파, 간장, 참기름, 소금, 후추","1. 찹쌀가루로 반죽을 만듭니다. 
2. 돼지고기와 새우, 대파를 섞어 만두 소를 만듭니다. 
3. 반죽에 소를 넣고 찐 후 완성합니다.",1,60
돼지고기 야채 볶음,"돼지고기, 양파, 당근, 피망, 간장, 마늘, 생강, 참기름, 소금, 후추","1. 돼지고기를 양념에 재워둡니다. 
2. 야채를 썰어 준비합니다. 
3. 팬에 돼지고기와 야채를 넣고 볶아줍니다.",2,30
소고기 야채 볶음,"소고기, 브로콜리, 양파, 당근, 간장, 마늘, 생강, 참기름, 소금, 후추","1. 소고기를 양념에 재워둡니다. 
2. 야채를 썰어 준비합니다. 
3. 팬에 소고기와 야채를 넣고 볶아줍니다.",2,30
고소한 두부 소스,"두부, 간장, 마늘, 생강, 참기름, 물, 소금, 후추","1. 두부를 으깨어 간장, 마늘, 생강, 참기름을 넣고 섞어 소스를 만듭니다. 
2. 팬에 두부 소스를 볶아 완성합니다.",1,20
치즈스틱 오니기리,"밥, 치즈스틱, 김, 간장, 소금, 후추","1. 밥에 소금, 후추를 섞어 밥을 만듭니다. 
2. 치즈스틱을 밥으로 감싸고 김으로 감싸줍니다.",0,25
오리 구이,"오리, 소금, 후추, 마늘, 로즈마리, 올리브 오일","1. 오리에 소금, 후추, 마늘, 로즈마리를 넣어 양념합니다. 
2. 오븐에 구워 완성합니다.",1,90
오코노미야끼,"밀가루, 양배추, 베이컨, 계란, 물, 소스, 마요네즈, 가쓰오부시, 파","1. 밀가루, 물, 계란을 섞어 반죽을 만듭니다. 
2. 양배추와 베이컨을 넣고 섞습니다. 
3. 팬에 부쳐 소스와 마요네즈, 가쓰오부시를 뿌려 완성합니다.",1,40
땅콩 소스를 곁들인 중국 양고기,"양고기, 땅콩 소스, 마늘, 생강, 간장, 참기름, 소금, 후추","1. 양고기를 양념에 재워둡니다. 
2. 팬에 양고기를 구워줍니다. 
3. 땅콩 소스를 곁들여 완성합니다.",3,35
새우 짜장면,"새우, 짜장 소스, 양파, 당근, 감자, 면","1. 새우와 야채를 볶아줍니다. 
2. 짜장 소스를 넣고 끓입니다. 
3. 면을 삶아 소스와 섞어 완성합니다.",3,30
치킨 차우,"닭고기, 양파, 당근, 피망, 간장, 마늘, 생강, 참기름, 소금, 후추, 면","1. 닭고기를 양념에 재워둡니다. 
2. 야채를 썰어 준비합니다. 
3. 면을 삶아 팬에 닭고기와 야채, 면을 넣고 볶아줍니다.",2,30
간단하게 구운 청경채,"청경채, 마늘, 간장, 참기름, 소금, 후추","1. 청경채를 씻어 준비합니다. 
2. 팬에 마늘을 볶다가 청경채를 넣고 간장과 참기름, 소금, 후추로 간을 맞춰 볶아줍니다.",1,15
뜨겁고 매운 갈비 구이,"갈비, 고추장, 간장, 마늘, 생강, 설탕, 고추, 참기름","1. 갈비를 고추장, 간장, 마늘, 생강, 설탕, 고추, 참기름으로 양념해 둡니다. 
2. 오븐이나 그릴에 구워줍니다.",4,60
보온병 히지키,"히지키, 당근, 유부, 간장, 미림, 설탕, 물","1. 히지키를 불려줍니다. 
2. 당근과 유부를 썰어 준비합니다. 
3. 팬에 모든 재료를 넣고 간장, 미림, 설탕으로 간을 맞춰 볶아줍니다.",1,25
검은콩국,"검은콩, 물, 소금, 마늘, 양파, 고추","1. 검은콩을 물에 불려줍니다. 
2. 양파와 마늘, 고추를 볶다가 검은콩과 물을 넣고 끓입니다. 
3. 소금으로 간을 맞춥니다.",2,90
일본 생강 디핑 소스,"생강, 간장, 식초, 설탕, 물","1. 생강을 강판에 갈아줍니다. 
2. 간장, 식초, 설탕, 물을 섞어 생강을 넣고 잘 섞어줍니다.",1,10
일본식 오이 샐러드,"오이, 식초, 설탕, 소금, 참기름","1. 오이를 얇게 썰어줍니다. 
2. 식초, 설탕, 소금, 참기름을 섞어 드레싱을 만듭니다. 
3. 오이에 드레싱을 버무려줍니다.",0,15
우동국수,"우동면, 다시마, 간장, 미림, 물, 파, 계란","1. 다시마와 물을 끓여 국물을 만듭니다. 
2. 우동면을 삶아 국물에 넣고 간장, 미림으로 간을 맞춥니다. 
3. 파와 계란을 올려 완성합니다.",1,20
소고기와 브로콜리 볶음,"소고기, 브로콜리, 간장, 마늘, 생강, 참기름, 소금, 후추","1. 소고기를 양념에 재워둡니다. 
2. 브로콜리를 썰어 준비합니다. 
3. 팬에 소고기와 브로콜리를 넣고 간장, 마늘, 생강으로 간을 맞춰 볶아줍니다.",2,30
생강 참깨 참치 꼬치,"참치, 생강, 참깨, 간장, 마늘, 참기름, 소금, 후추","1. 참치를 생강, 참깨, 간장, 마늘, 참기름으로 양념해 둡니다. 
2. 꼬치에 끼워 구워줍니다.",2,25
파와 양파를 곁들인 쇠고기 검은 콩 소스,"소고기, 파, 양파, 검은 콩 소스, 간장, 마늘, 생강, 참기름, 소금, 후추","1. 소고기를 양념에 재워둡니다. 
2. 파와 양파를 썰어 준비합니다. 
3. 팬에 소고기와 파, 양파를 넣고 검은 콩 소스와 간장으로 간을 맞춰 볶아줍니다.",3,30
절인 생강 치킨,"닭고기, 생강, 간장, 미림, 설탕, 소금, 후추","1. 닭고기를 생강, 간장, 미림, 설탕으로 양념해 둡니다. 
2. 오븐이나 팬에 구워줍니다.",2,40
일본식 샐러드 드레싱,"간장, 식초, 설탕, 참기름, 마늘, 생강","1. 간장, 식초, 설탕, 참기름, 마늘, 생강을 섞어 잘 저어줍니다.",0,10
스시 롤,"김, 밥, 생선 (연어, 참치 등), 오이, 아보카도, 간장, 와사비, 식초","1. 밥에 식초를 섞어 준비합니다. 
2. 김 위에 밥을 얇게 펴고 생선, 오이, 아보카도를 넣어 롤을 만듭니다. 
3. 간장과 와사비와 함께 제공합니다.",0,30
된장마늘구이 가지,"가지, 된장, 마늘, 올리브 오일, 소금, 후추","1. 가지를 반으로 자르고 된장과 다진 마늘을 발라줍니다. 
2. 올리브 오일을 뿌리고 오븐에서 구워줍니다.",1,25
팬케이크를 곁들인 중국 오리,"오리, 팬케이크(밀가루, 물), 오이, 파, 호이신 소스","1. 오리를 오븐에 구워줍니다. 
2. 팬케이크를 만들어 오리와 함께 오이, 파, 호이신 소스를 곁들여 제공합니다.",1,120
녹차밥(오챠즈케),"밥, 녹차, 다시마, 간장, 소금, 연어 또는 우메보시","1. 밥 위에 다시마와 간장으로 간을 맞춘 녹차를 붓습니다. 
2. 연어나 우메보시를 얹어줍니다.",0,15
중국식 닭다리,"닭다리, 간장, 마늘, 생강, 설탕, 식초","1. 닭다리를 간장, 마늘, 생강, 설탕, 식초에 재워둡니다. 
2. 오븐에서 구워줍니다.",2,60
계란 수프,"계란, 닭 육수, 간장, 파, 소금, 후추","1. 닭 육수를 끓이고 계란을 풀어 넣습니다. 
2. 간장과 소금, 후추로 간을 맞춥니다. 
3. 파를 얹어 제공합니다.",0,15
일본 누들 샐러드,"우동면, 오이, 당근, 무, 간장, 식초, 설탕, 참기름","1. 우동면을 삶아 찬물에 헹굽니다. 
2. 오이, 당근, 무를 얇게 썰어 섞습니다. 
3. 간장, 식초, 설탕, 참기름으로 드레싱을 만들어 버무립니다.",1,20
스키야키,"소고기, 두부, 표고버섯, 당면, 파, 간장, 설탕, 미림, 물","1. 팬에 소고기와 두부, 표고버섯, 당면을 넣고 간장, 설탕, 미림, 물을 부어 졸입니다.",2,40
데리야끼버거,"버거 패티, 데리야끼 소스(간장, 설탕, 미림, 생강), 양상추, 토마토, 양파, 햄버거 번","1. 버거 패티를 데리야끼 소스에 재워 구워줍니다. 
2. 햄버거 번에 양상추, 토마토, 양파, 구운 패티를 넣어 완성합니다.",2,30
고기 소스를 곁들인 베이징 국수,"소고기, 간장, 설탕, 마늘, 생강, 국수, 파","1. 소고기를 간장, 설탕, 다진 마늘, 생강에 재워둡니다. 
2. 국수를 삶아 찬물에 헹굽니다. 
3. 팬에 고기를 볶아 국수와 함께 제공합니다.",2,30
라면 누들 치킨 샐러드,"라면 누들, 닭고기, 양상추, 당근, 오이, 간장, 식초, 설탕, 참기름","1. 라면 누들을 삶아 찬물에 헹굽니다. 
2. 닭고기를 구워서 얇게 썰어줍니다. 
3. 양상추, 당근, 오이를 얇게 썰어 섞습니다. 
4. 간장, 식초, 설탕, 참기름으로 드레싱을 만들어 버무립니다.",1,25
된장 연어와 시금치,"연어, 시금치, 된장, 마늘, 올리브 오일, 소금, 후추","1. 된장과 다진 마늘을 연어에 발라둡니다. 
2. 시금치를 살짝 데쳐 준비합니다. 
3. 팬에 올리브 오일을 두르고 연어를 구워줍니다.
4. 구운 연어와 시금치를 함께 접시에 담아 제공합니다.",1,20
당근 참깨 후리카케,"당근, 참깨, 간장, 설탕, 식초","1. 당근을 얇게 채 썰어 준비합니다. 
2. 팬에 간장, 설탕, 식초를 넣고 끓입니다. 
3. 당근을 넣고 볶아줍니다. 
4. 볶은 당근에 참깨를 뿌려 제공합니다.",1,15
일본식 카페테리아 스파게티 소스,"스파게티 면, 간장, 설탕, 마늘, 생강, 고추장","1. 스파게티 면을 삶아 준비합니다. 
2. 팬에 간장, 설탕, 다진 마늘, 생강을 넣고 끓입니다. 
3. 고추장을 넣어 매콤한 맛을 추가합니다. 
4. 삶은 스파게티 면에 소스를 부어 제공합니다.",3,20
일본식 사천식 새우를 곁들인 마파두부,"새우, 두부, 간장, 두반장, 마늘, 생강, 고추기름, 파","1. 두부를 작은 크기로 잘라 준비합니다. 
2. 팬에 고추기름을 두르고 다진 마늘, 생강을 볶습니다. 
3. 새우와 두부를 넣고 간장과 두반장을 추가하여 볶아줍니다. 
4. 파를 얹어 마무리합니다.",4,30
게 완탕,"게살, 만두피, 간장, 생강, 마늘, 파","1. 게살에 다진 생강과 마늘을 넣어 섞습니다. 
2. 만두피에 게살을 넣고 만두를 빚습니다. 
3. 끓는 물에 만두를 넣어 삶아줍니다. 
4. 간장과 파를 곁들여 제공합니다.",1,40
라면 누들 프리타타,"라면 누들, 계란, 양파, 피망, 치즈","1. 라면 누들을 삶아 찬물에 헹굽니다. 
2. 계란을 풀어 양파와 피망을 섞습니다. 
3. 삶은 라면 누들을 계란 혼합물에 섞어 팬에 부어줍니다. 
4. 치즈를 얹어 오븐에서 구워줍니다.",1,30
라면을 곁들인 새우 수프,"라면 누들, 새우, 닭 육수, 간장, 마늘, 생강, 파","1. 닭 육수를 끓이고 간장, 다진 마늘, 생강을 추가합니다. 
2. 새우를 넣고 익힙니다. 
3. 라면 누들을 삶아 준비합니다. 
4. 국물에 라면과 새우를 넣고 파를 얹어 제공합니다.",2,25
구운 돼지고기 계란 푸영,"돼지고기, 계란, 간장, 마늘, 생강, 소금, 후추","1. 돼지고기를 간장, 다진 마늘, 생강에 재워둡니다. 
2. 팬에 돼지고기를 구워줍니다. 
3. 계란을 프라이팬에 부쳐줍니다. 
4. 구운 돼지고기와 계란을 함께 접시에 담아 제공합니다.",2,35
일본식 봄 야채 라구,"양파, 당근, 감자, 시금치, 버섯, 다진 마늘, 간장, 미림, 다시다, 올리브 오일","1. 양파, 당근, 감자, 시금치를 손질합니다. 
2. 팬에 올리브 오일을 두르고 다진 마늘을 볶습니다. 
3. 양파, 당근, 감자를 넣고 볶다가 간장과 미림, 다시다를 넣어 조립니다. 
4. 마지막으로 시금치를 넣고 살짝 볶아줍니다.",0,40
사천식 가지,"가지, 두반장, 다진 마늘, 생강, 고추기름, 간장, 설탕","1. 가지를 썰어 준비합니다. 
2. 팬에 고추기름을 두르고 다진 마늘과 생강을 볶습니다. 
3. 가지와 두반장, 간장, 설탕을 넣고 볶아줍니다.",4,30
사천식 야채 볶음,"양배추, 당근, 피망, 두반장, 고추기름, 다진 마늘, 생강, 간장, 설탕","1. 양배추, 당근, 피망을 썰어 준비합니다. 
2. 팬에 고추기름을 두르고 다진 마늘과 생강을 볶습니다. 
3. 야채와 두반장, 간장, 설탕을 넣고 볶아줍니다.",4,25
어묵,"어묵, 간장, 설탕, 물, 대파","1. 어묵을 썰어 준비합니다. 
2. 냄비에 간장, 설탕, 물을 넣고 끓입니다. 
3. 어묵을 넣고 조립니다. 
4. 대파를 얹어 마무리합니다.",1,20
데리야끼 글레이즈드 연어 패티,"연어, 데리야끼 소스, 다진 마늘, 생강, 올리브 오일","1. 연어를 손질해 준비합니다. 
2. 팬에 올리브 오일을 두르고 다진 마늘과 생강을 볶습니다. 
3. 연어를 넣고 데리야끼 소스를 발라 구워줍니다.",2,30
중국 야채 샐러드,"양배추, 당근, 피망, 오이, 간장, 식초, 설탕, 참기름","1. 양배추, 당근, 피망, 오이를 채 썰어 준비합니다. 
2. 간장, 식초, 설탕, 참기름을 섞어 드레싱을 만듭니다. 
3. 채소에 드레싱을 뿌려 버무립니다.",1,15
검은 콩 마늘 소스를 곁들인 브뤼셀 콩나물,"브뤼셀 콩나물, 검은 콩, 마늘, 간장, 설탕, 올리브 오일","1. 브뤼셀 콩나물을 씻어 준비합니다. 
2. 팬에 올리브 오일을 두르고 다진 마늘을 볶습니다. 
3. 검은 콩과 브뤼셀 콩나물을 넣고 볶습니다. 
4. 간장과 설탕을 넣어 간을 맞춥니다.",2,20
만두피,"밀가루, 물, 소금","1. 밀가루에 소금을 섞어줍니다. 
2. 물을 조금씩 넣어가며 반죽을 만듭니다. 
3. 반죽을 얇게 밀어 만두피를 만듭니다.",0,60
파 팬케이크,"밀가루, 물, 소금, 파, 식용유","1. 밀가루에 소금과 물을 섞어 반죽을 만듭니다. 
2. 파를 얇게 썰어 반죽에 넣습니다. 
3. 팬에 식용유를 두르고 반죽을 부쳐 팬케이크를 만듭니다.",1,25
매실 바베큐 소스,"매실, 간장, 설탕, 다진 마늘, 생강, 고추기름","1. 매실을 다져 준비합니다. 
2. 간장, 설탕, 다진 마늘, 생강, 고추기름을 섞어 소스를 만듭니다. 
3. 매실을 소스에 넣고 잘 섞어줍니다.",3,15
매콤한 사천 소고기,"소고기, 두반장, 다진 마늘, 생강, 고추기름, 간장, 설탕","1. 소고기를 썰어 준비합니다. 
2. 팬에 고추기름을 두르고 다진 마늘과 생강을 볶습니다. 
3. 소고기와 두반장, 간장, 설탕을 넣고 볶아줍니다.",4,30
구기자 뮤즐리,"귀리, 구기자, 꿀, 아몬드, 건포도, 우유","1. 귀리와 구기자를 섞어 준비합니다. 
2. 꿀, 아몬드, 건포도를 넣어 잘 섞어줍니다. 
3. 우유를 부어 제공합니다.",0,10
과일 두부 스무디,"두부, 바나나, 딸기, 우유, 꿀","1. 두부와 과일을 믹서기에 넣습니다. 
2. 우유와 꿀을 추가하고 갈아줍니다.",0,10
차완무시 (일본식 계란찜),"계란, 다시마 육수, 간장, 미림, 소금, 새우, 표고버섯, 대파","1. 계란을 풀어 다시마 육수, 간장, 미림, 소금을 섞습니다. 
2. 새우와 표고버섯, 대파를 그릇에 넣고 계란물을 부어 찜기에 찝니다.",0,30
저탄수화물 일본식 카레,"닭고기, 당근, 감자, 양파, 카레 가루, 간장, 다시다, 물","1. 닭고기와 야채를 썰어 준비합니다. 
2. 팬에 닭고기와 야채를 볶다가 카레 가루, 간장, 다시다를 넣어 조립니다.",1,40
